fish_name,min_ph,max_ph,min_temp,max_temp,adult_size,aggression,pollution_factor,difficulty,description,image_path,is_custom
네온 테트라,5.5,7.0,22,26,4.0,2,1.0,초보자,온순하고 무리를 지어 헤엄치는 대표적인 소형 열대어입니다.,네온테트라.png,0
구피,6.5,8.0,22,28,5.0,3,1.2,초보자,번식력이 강하고 화려한 지느러미를 가진 대중적인 어종입니다.,구피.png,0
체리새우,6.5,7.5,20,26,2.5,1,0.5,초보자,이끼를 청소해 주며 공격성이 전혀 없는 평화로운 생물입니다.,체리새우.png,0
베타,6.0,7.5,24,30,6.0,9,1.5,중급자,지느러미가 화려하지만 동종 간 싸움이 격해 단독 사육이 필수입니다.,베타.png,0
엔젤피쉬,6.0,7.0,24,28,12.0,6,1.8,중급자,체구가 커지면 소형어(새우 등)를 잡아먹을 수 있으니 합사에 주의하세요.,엔젤피쉬.png,0
플래티,7.0,8.2,22,28,5.5,2,1.1,초보자,약알칼리성 수질을 좋아하며 색상이 선명하고 튼튼한 난태생 어종입니다.,플래티.png,0
코리도라스,6.0,7.5,22,26,6.0,2,0.9,초보자,바닥에 떨어진 사료를 먹어치우는 귀여운 바닥 청소 물고기입니다.,코리도라스.png,0
러미노즈 테트라,5.5,7.0,24,28,5.0,2,1.0,중급자,머리에 붉은 발색이 특징이며 수질이 나빠지면 색이 빠져 수질 지표로 쓰입니다.,러미노즈 테트라.png,0
카디널 테트라,5.5,6.8,23,27,4.5,2,1.0,초보자,네온테트라보다 붉은색 라인이 길게 이어져 있어 수초 어항에 매우 잘 어울립니다.,카디널 테트라.png,0
하프빅,7.0,8.0,24,28,7.0,4,1.1,중급자,아래턱이 길게 튀어나온 독특한 외형을 가졌으며 주로 수면 위쪽에서 생활합니다.,하프빅.png,0
안시스트러스,6.5,7.5,22,27,12.0,3,1.4,초보자,벽면과 유목의 이끼를 청소해 주는 필수 이끼 청소 물고기입니다.,안시스트러스.png,0
오토싱,6.0,7.5,21,26,4.0,1,0.6,중급자,수초에 붙은 미세한 이끼를 전문적으로 먹는 아주 온순한 소형 물고기입니다.,오토싱.png,0
제브라다니오,6.5,7.5,18,25,5.0,4,1.0,초보자,환경 적응력이 상상을 초월할 정도로 강해 초보자에게 가장 안전한 어종입니다.,제브라다니오.png,0
디스커스,6.0,6.5,27,31,15.0,5,2.0,상급자,열대어의 왕으로 불리며 높은 수온과 정밀한 수질 관리가 필요한 종입니다.,디스커스.png,0
실버아로와나,6.0,7.0,24,30,60.0,8,4.0,상급자,대형 고대어로 최대 60cm 이상 자라며 압도적인 여과 용량과 대형 수조가 필수입니다.,실버아로와나.png,0
